Initialization done, evaluating initial agents...
Initialization done, took 0.00 seconds
Agent: {'x': 89.33740868363954, 'y': 87.97699641166409, 'level': np.str_('b')}, Fitness: 15721.12448792559
Agent: {'x': 100.61108798787981, 'y': 83.3397600578608, 'level': np.str_('b')}, Fitness: 17068.106632606705
Agent: {'x': 100.2656766514888, 'y': 100.84377688522551, 'level': np.str_('b')}, Fitness: 20222.67325085805
Agent: {'x': 113.12433165822968, 'y': 93.20590222723341, 'level': np.str_('b')}, Fitness: 21484.45462311374
Agent: {'x': 92.0408530677661, 'y': 100.72745529151435, 'level': np.str_('b')}, Fitness: 18617.53888294613
Agent: {'x': 102.87079696934337, 'y': 101.0407161277152, 'level': np.str_('b')}, Fitness: 20791.627184709392
Agent: {'x': 93.33407221088719, 'y': 95.28899565708343, 'level': np.str_('c')}, Fitness: 17781.241728802772
Agent: {'x': 90.10387820721604, 'y': 90.34948914228069, 'level': np.str_('b')}, Fitness: 16281.739056251918
Agent: {'x': 91.77464032348509, 'y': 105.35324405114025, 'level': np.str_('c')}, Fitness: 19511.890638604174
Agent: {'x': 94.8552418577961, 'y': 82.9010013293797, 'level': np.str_('b')}, Fitness: 15870.092929314807
Agent: {'x': 90.10387820721604, 'y': 90.34948914228069, 'level': np.str_('b')}, Fitness: 16281.739056251918
Agent: {'x': 92.92536380833467, 'y': 76.63386832506079, 'level': np.str_('b')}, Fitness: 14507.873013374108
Agent: {'x': 109.55088162785357, 'y': 93.65906952183566, 'level': np.str_('b')}, Fitness: 20773.41696913603
Agent: {'x': 100.91034511577334, 'y': 107.85432247077091, 'level': np.str_('b')}, Fitness: 21815.452627013517
Agent: {'x': 96.3662504943863, 'y': 98.0878195668141, 'level': np.str_('c')}, Fitness: 18897.67458171869
Agent: {'x': 81.51291015640356, 'y': 99.06389740656502, 'level': np.str_('b')}, Fitness: 16458.01029154436
Agent: {'x': 104.00599240064031, 'y': 91.48683112280439, 'level': np.str_('b')}, Fitness: 19187.08672413458
Agent: {'x': 94.77121833401443, 'y': 91.22353948340366, 'level': np.str_('c')}, Fitness: 17293.31798039354
